,a.Team,a.FGM,a.FGA,a.FG%,a.3PM,a.3PA,a.3P%,a.FTM,a.FTA,a.FT%,a.OREB,a.DREB,a.REB,a.AST,a.STL,a.BLK,a.TOV,a.PF
0,MIL,38,82,46.3,12,34,35.3,17,21,81.0,7,31,38,28,5,2,14,13
1,SAS,51,104,49.0,15,38,39.5,21,30,70.0,13,56,69,31,2,3,12,13
2,GSW,58,96,60.4,27,49,55.1,14,16,87.5,9,49,58,47,13,6,16,18
3,LAC,49,100,49.0,5,23,21.7,16,24,66.7,14,39,53,22,3,5,10,18
4,DET,31,85,36.5,9,33,27.3,10,13,76.9,15,44,59,20,1,3,25,16
5,IND,46,89,51.7,19,34,55.9,30,38,78.9,8,36,44,33,8,9,15,24
6,UTA,51,101,50.5,10,35,28.6,5,6,83.3,7,38,45,31,4,4,11,16
7,NOP,40,90,44.4,3,21,14.3,25,29,86.2,11,38,49,18,13,3,15,24
8,PHI,53,101,52.5,14,32,43.8,14,19,73.7,13,37,50,31,10,5,13,23
9,CHA,37,81,45.7,6,32,18.8,26,30,86.7,10,39,49,23,8,5,19,14
10,MEM,40,92,43.5,7,37,18.9,13,18,72.2,11,32,43,25,8,4,12,16
11,SAC,37,85,43.5,11,43,25.6,10,15,66.7,10,24,34,24,7,6,15,18
12,ORL,38,90,42.2,17,47,36.2,17,24,70.8,13,30,43,29,13,1,14,17
13,HOU,44,90,48.9,6,21,28.6,20,28,71.4,13,38,51,24,8,6,15,15
14,ATL,44,97,45.4,11,39,28.2,15,19,78.9,16,34,50,27,11,5,9,12
15,DEN,41,90,45.6,15,46,32.6,17,24,70.8,5,36,41,32,7,9,14,20
16,POR,47,89,52.8,14,32,43.8,17,23,73.9,7,27,34,32,8,4,10,20
17,MIN,56,101,55.4,24,43,55.8,15,21,71.4,11,34,45,42,8,8,7,18
18,PHI,51,102,50.0,11,22,50.0,23,29,79.3,13,39,52,33,10,2,20,22
19,DET,44,90,48.9,13,31,41.9,21,26,80.8,10,32,42,24,12,6,13,24
20,GSW,41,78,52.6,16,36,44.4,21,24,87.5,10,37,47,36,6,7,24,22
21,PHX,43,104,41.3,9,36,25.0,12,14,85.7,13,34,47,23,7,10,9,12
22,HOU,42,89,47.2,7,21,33.3,21,28,75.0,14,34,48,21,11,9,19,23
23,MEM,53,93,57.0,20,42,47.6,11,15,73.3,11,33,44,39,9,6,12,20
24,ORL,31,87,35.6,7,38,18.4,15,17,88.2,15,42,57,17,6,6,21,19
25,NYK,38,88,43.2,14,43,32.6,15,20,75.0,7,30,37,19,5,2,10,17
26,CHI,46,88,52.3,11,31,35.5,12,18,66.7,8,42,50,24,6,4,12,15
27,MIA,43,98,43.9,15,47,31.9,7,12,58.3,14,33,47,26,7,4,16,29
28,TOR,40,93,43.0,9,31,29.0,13,17,76.5,12,23,35,21,12,2,8,17
29,DEN,44,83,53.0,8,23,34.8,19,23,82.6,9,29,38,24,7,2,13,19
30,CLE,46,88,52.3,18,38,47.4,8,9,88.9,9,33,42,31,13,7,17,21
31,POR,51,96,53.1,10,28,35.7,15,18,83.3,8,28,36,34,7,14,16,22
32,MIA,49,88,55.7,18,39,46.2,13,15,86.7,10,32,42,39,3,0,11,13
33,OKC,39,97,40.2,15,45,33.3,21,26,80.8,17,33,50,29,12,2,13,17
34,MEM,50,104,48.1,12,36,33.3,19,25,76.0,15,34,49,33,10,6,14,25
35,NYK,52,100,52.0,18,46,39.1,16,25,64.0,20,32,52,34,13,8,18,21
36,TOR,37,90,41.1,6,33,18.2,13,17,76.5,13,37,50,20,10,7,12,19
37,WAS,45,94,47.9,6,28,21.4,20,26,76.9,12,27,39,23,10,9,14,26
38,CHI,36,83,43.4,11,33,33.3,9,11,81.8,5,33,38,28,10,3,15,11
39,BKN,45,86,52.3,17,43,39.5,16,23,69.6,11,27,38,36,6,7,13,12
40,SAC,46,106,43.4,12,37,32.4,15,19,78.9,22,35,57,31,7,1,9,19
41,LAL,45,89,50.6,12,29,41.4,16,24,66.7,10,34,44,27,4,3,14,17
42,MIL,50,92,54.3,23,42,54.8,17,29,58.6,12,44,56,33,6,7,18,19
43,SAS,35,90,38.9,13,40,32.5,11,14,78.6,9,29,38,25,7,5,12,16
44,OKC,44,93,47.3,11,32,34.4,26,35,74.3,13,25,38,23,4,1,10,22
45,LAL,48,96,50.0,12,34,35.3,27,35,77.1,11,33,44,27,6,7,12,21
46,MIN,41,85,48.2,8,24,33.3,17,22,77.3,7,37,44,21,7,6,12,13
47,MIA,41,80,51.3,13,36,36.1,23,26,88.5,5,28,33,26,12,2,8,18
48,DEN,41,87,47.1,11,36,30.6,10,18,55.6,13,34,47,26,9,13,20,18
49,SAC,46,91,50.5,17,42,40.5,12,15,80.0,11,32,43,35,8,4,12,22
50,POR,42,97,43.3,14,42,33.3,11,17,64.7,13,36,49,23,7,7,10,18
51,CLE,42,84,50.0,15,31,48.4,18,20,90.0,5,25,30,23,3,7,9,16
52,TOR,42,88,47.7,15,33,45.5,21,28,75.0,10,31,41,27,13,7,7,18
53,ATL,48,86,55.8,10,28,35.7,17,19,89.5,7,41,48,26,5,7,17,18
54,BOS,38,91,41.8,15,45,33.3,10,16,62.5,13,30,43,28,4,4,8,17
55,DAL,49,95,51.6,10,38,26.3,22,32,68.8,10,37,47,24,4,3,14,15
56,PHI,40,87,46.0,12,36,33.3,12,13,92.3,11,25,36,19,3,2,11,17
57,WAS,39,79,49.4,16,37,43.2,15,18,83.3,5,33,38,26,9,5,19,18
58,SAS,52,98,53.1,13,34,38.2,25,29,86.2,14,38,52,31,8,3,18,25
59,UTA,40,91,44.0,8,32,25.0,22,30,73.3,11,41,52,24,5,1,11,23
60,TOR,56,104,53.8,8,28,28.6,8,8,100.0,15,30,45,38,8,6,8,14
61,MEM,39,84,46.4,19,43,44.2,10,12,83.3,8,39,47,29,1,3,18,22
62,PHX,46,81,56.8,13,34,38.2,23,28,82.1,5,33,38,31,4,6,13,30
63,DET,32,78,41.0,9,33,27.3,29,36,80.6,9,29,38,22,4,1,16,29
64,GSW,42,105,40.0,9,42,21.4,17,17,100.0,22,35,57,26,9,4,15,22
65,LAL,52,93,55.9,9,30,30.0,21,28,75.0,11,40,51,36,4,8,6,9
66,IND,36,83,43.4,9,24,37.5,24,29,82.8,11,33,44,21,5,6,17,26
67,POR,43,93,46.2,9,30,30.0,12,20,60.0,11,31,42,29,12,3,10,26
68,LAC,42,85,49.4,11,29,37.9,19,23,82.6,11,26,37,25,5,4,13,29
69,DAL,47,77,61.0,14,34,41.2,14,16,87.5,1,30,31,32,3,2,14,23
70,SAC,54,88,61.4,19,39,48.7,11,15,73.3,8,33,41,38,11,7,13,21
71,SAS,42,91,46.2,15,38,39.5,16,23,69.6,14,32,46,27,8,4,15,20
72,LAC,34,90,37.8,11,35,31.4,15,18,83.3,12,38,50,26,5,8,18,14
73,LAL,45,90,50.0,9,22,40.9,24,30,80.0,15,38,53,28,10,5,16,17
74,CHI,45,88,51.1,13,31,41.9,18,22,81.8,9,33,42,25,12,4,7,13
75,ATL,39,91,42.9,8,37,21.6,21,23,91.3,16,30,46,23,6,3,11,14
76,DEN,38,95,40.0,6,26,23.1,11,20,55.0,15,36,51,19,11,5,11,16
77,ORL,44,88,50.0,8,24,33.3,20,26,76.9,6,42,48,26,2,14,11,16
78,TOR,42,84,50.0,8,26,30.8,18,23,78.3,14,20,34,26,6,3,13,19
79,NYK,49,93,52.7,17,36,47.2,15,24,62.5,16,32,48,24,6,5,10,12
80,DET,43,89,48.3,11,35,31.4,18,27,66.7,13,27,40,24,7,7,12,28
81,OKC,42,88,47.7,4,30,13.3,29,34,85.3,11,34,45,21,10,3,11,24
82,UTA,46,96,47.9,9,29,31.0,13,14,92.9,13,39,52,23,3,7,18,17
83,BOS,51,91,56.0,22,43,51.2,16,20,80.0,7,40,47,28,8,5,9,18
84,NOP,38,80,47.5,13,27,48.1,18,22,81.8,8,38,46,22,6,1,12,24
85,LAC,48,78,61.5,22,37,59.5,23,31,74.2,3,29,32,28,8,4,16,21
86,HOU,46,98,46.9,9,30,30.0,13,21,61.9,20,32,52,21,9,2,10,18
87,UTA,49,90,54.4,12,31,38.7,18,20,90.0,8,37,45,28,5,6,16,17
88,DAL,38,83,45.8,18,46,39.1,14,18,77.8,8,32,40,24,3,3,14,22
89,MIA,35,79,44.3,13,39,33.3,9,14,64.3,6,29,35,20,5,0,11,18
90,DET,40,80,50.0,16,33,48.5,10,14,71.4,10,32,42,27,1,3,18,22
91,MIN,40,90,44.4,12,35,34.3,8,12,66.7,16,38,54,24,4,4,21,24
92,MIL,58,93,62.4,10,25,40.0,23,30,76.7,14,38,52,28,5,5,19,18
93,SAC,42,92,45.7,18,48,37.5,18,24,75.0,10,49,59,30,9,4,10,11
94,LAL,45,86,52.3,7,20,35.0,24,30,80.0,13,32,45,22,10,3,16,14
95,BOS,45,93,48.4,11,44,25.0,10,11,90.9,7,31,38,29,5,8,12,14
96,ORL,41,100,41.0,14,49,28.6,12,15,80.0,8,39,47,24,9,8,16,15
97,CLE,47,93,50.5,9,25,36.0,15,22,68.2,10,30,40,20,5,6,8,24
98,NOP,42,90,46.7,12,27,44.4,13,14,92.9,11,30,41,30,6,4,19,18
99,MIA,32,80,40.0,10,33,30.3,18,19,94.7,12,31,43,18,6,3,16,10
100,CHA,52,94,55.3,14,35,40.0,19,30,63.3,15,37,52,34,6,7,18,24
101,HOU,42,87,48.3,7,26,26.9,24,29,82.8,13,27,40,24,6,4,14,18
102,PHX,43,101,42.6,11,36,30.6,20,22,90.9,18,31,49,31,7,7,7,20
103,MIL,45,95,47.4,14,45,31.1,22,26,84.6,15,35,50,28,5,4,9,23
104,PHI,43,89,48.3,8,30,26.7,17,22,77.3,11,29,40,18,10,3,11,20
105,MIN,44,86,51.2,9,24,37.5,22,34,64.7,11,29,40,33,6,3,6,27
106,CHI,44,82,53.7,9,23,39.1,15,21,71.4,8,26,34,26,9,3,15,11
107,NOP,49,86,57.0,12,28,42.9,14,17,82.4,8,45,53,31,5,6,17,16
108,DAL,47,83,56.6,18,37,48.6,15,17,88.2,4,29,33,29,7,8,13,23
109,HOU,35,80,43.8,6,25,24.0,15,18,83.3,12,24,36,20,6,1,19,22
110,DAL,32,84,38.1,19,49,38.8,21,22,95.5,3,34,37,18,8,7,8,24
111,SAS,36,97,37.1,8,36,22.2,13,18,72.2,3,35,38,22,7,0,10,16
112,OKC,41,94,43.6,12,35,34.3,24,28,85.7,13,29,42,23,13,2,11,19
113,BKN,37,91,40.7,8,35,22.9,24,28,85.7,15,29,44,17,7,8,15,20
114,CHI,47,87,54.0,14,31,45.2,10,13,76.9,8,34,42,32,8,2,9,23
115,WAS,38,86,44.2,16,36,44.4,12,20,60.0,12,33,45,25,6,2,18,12
116,MEM,48,89,53.9,13,33,39.4,14,19,73.7,6,33,39,28,8,7,11,22
117,MIN,34,80,42.5,17,40,42.5,14,25,56.0,9,40,49,25,10,2,17,20
118,MIL,39,88,44.3,9,36,25.0,19,21,90.5,4,36,40,26,7,2,10,19
119,PHI,34,78,43.6,13,31,41.9,24,27,88.9,8,28,36,21,3,7,13,16
120,UTA,47,91,51.6,9,28,32.1,10,16,62.5,11,34,45,30,3,7,17,14
121,NOP,51,96,53.1,21,34,61.8,8,9,88.9,12,33,45,36,11,3,16,21
122,IND,52,96,54.2,14,37,37.8,12,12,100.0,10,22,32,33,7,7,17,18
123,BKN,44,89,49.4,18,40,45.0,23,25,92.0,17,28,45,30,6,6,8,18
124,SAS,51,101,50.5,13,38,34.2,9,15,60.0,11,30,41,35,4,4,5,21
125,IND,39,84,46.4,4,26,15.4,13,22,59.1,6,38,44,24,9,4,17,16
126,DET,34,73,46.6,6,25,24.0,23,30,76.7,8,31,39,23,8,4,22,18
127,PHX,48,89,53.9,9,29,31.0,22,29,75.9,12,31,43,33,2,7,12,25
128,HOU,47,87,54.0,7,23,30.4,13,21,61.9,10,28,38,25,7,3,16,14
129,OKC,40,92,43.5,14,36,38.9,17,19,89.5,12,33,45,21,6,5,10,19
130,MIL,55,99,55.6,22,50,44.0,12,16,75.0,9,41,50,42,6,11,13,20
131,CHA,43,89,48.3,11,28,39.3,20,27,74.1,6,37,43,32,7,4,8,17
132,PHI,38,78,48.7,8,29,27.6,28,34,82.4,4,34,38,23,8,1,10,20
133,CHI,48,84,57.1,17,28,60.7,11,14,78.6,11,36,47,33,6,8,17,19
134,CHA,38,83,45.8,9,37,24.3,11,16,68.8,4,34,38,24,8,4,17,17
135,NYK,37,88,42.0,12,40,30.0,20,26,76.9,13,31,44,26,8,8,13,15
136,CLE,42,89,47.2,12,32,37.5,20,26,76.9,13,27,40,24,7,7,10,21
137,OKC,41,93,44.1,13,39,33.3,10,11,90.9,13,27,40,24,6,3,14,20
138,GSW,50,90,55.6,12,39,30.8,15,18,83.3,11,33,44,33,7,5,13,20
139,ATL,45,85,52.9,12,26,46.2,22,25,88.0,9,32,41,28,6,6,17,25
140,SAS,36,93,38.7,9,39,23.1,13,20,65.0,8,38,46,26,7,6,19,21
141,IND,43,77,55.8,11,21,52.4,21,25,84.0,8,31,39,27,4,5,18,29
142,HOU,48,93,51.6,12,33,36.4,17,23,73.9,20,28,48,27,6,3,16,25
143,DEN,42,83,50.6,15,32,46.9,19,21,90.5,11,30,41,28,7,2,10,18
144,PHI,39,82,47.6,16,37,43.2,22,26,84.6,11,33,44,30,9,4,18,22
145,PHX,42,90,46.7,12,31,38.7,15,20,75.0,12,27,39,23,7,6,17,31
146,NYK,42,82,51.2,16,40,40.0,20,25,80.0,9,33,42,29,7,5,17,25
147,POR,45,93,48.4,13,41,31.7,24,30,80.0,7,36,43,28,9,5,9,24
148,BOS,49,92,53.3,18,44,40.9,16,23,69.6,11,32,43,33,9,3,6,15
149,OKC,39,93,41.9,10,37,27.0,13,14,92.9,12,35,47,19,2,4,12,21
150,DET,37,91,40.7,13,40,32.5,20,24,83.3,9,26,35,20,8,2,10,26
151,WAS,42,83,50.6,10,32,31.3,18,23,78.3,4,29,33,30,7,4,14,23
152,CLE,42,83,50.6,14,29,48.3,17,21,81.0,8,26,34,23,6,3,14,20
153,SAS,30,87,34.5,13,41,31.7,11,19,57.9,10,27,37,22,8,3,16,19
154,SAC,41,97,42.3,19,52,36.5,19,25,76.0,8,35,43,28,5,3,6,20
155,CHI,39,94,41.5,7,33,21.2,24,29,82.8,4,38,42,20,12,7,11,18
156,MIN,51,83,61.4,14,24,58.3,24,32,75.0,7,27,34,34,9,4,15,24
157,GSW,44,88,50.0,17,48,35.4,16,19,84.2,16,32,48,31,12,6,20,14
158,IND,37,82,45.1,9,26,34.6,26,34,76.5,13,35,48,27,5,6,22,26
159,DAL,39,84,46.4,11,36,30.6,19,20,95.0,8,29,37,22,5,4,12,19
160,ATL,48,101,47.5,5,22,22.7,17,20,85.0,20,31,51,21,4,4,12,13
161,PHX,44,92,47.8,15,36,41.7,17,24,70.8,9,31,40,31,7,9,14,31
162,MIA,38,79,48.1,13,39,33.3,23,25,92.0,8,34,42,33,4,4,10,17
163,TOR,44,99,44.4,14,34,41.2,9,12,75.0,9,32,41,25,6,4,7,15
164,ORL,41,102,40.2,10,38,26.3,13,17,76.5,13,31,44,24,8,3,8,28
165,DEN,42,80,52.5,12,23,52.2,12,13,92.3,6,34,40,31,5,3,17,17
166,LAC,43,94,45.7,12,28,42.9,19,23,82.6,18,31,49,26,11,3,10,18
167,NOP,42,85,49.4,13,31,41.9,20,24,83.3,10,29,39,28,7,4,10,23
168,ORL,42,84,50.0,10,31,32.3,19,25,76.0,9,36,45,23,14,5,18,22
169,MIN,39,85,45.9,5,23,21.7,24,28,85.7,9,33,42,27,5,2,15,23
170,GSW,39,91,42.9,13,35,37.1,28,34,82.4,15,27,42,27,3,8,13,21
171,BOS,42,88,47.7,22,51,43.1,11,16,68.8,5,35,40,30,2,2,8,17
172,MIA,35,82,42.7,10,37,27.0,19,24,79.2,14,25,39,23,4,2,14,10
173,DEN,43,84,51.2,12,33,36.4,12,15,80.0,6,27,33,30,3,2,13,21
174,SAC,48,86,55.8,22,37,59.5,14,23,60.9,7,37,44,34,7,7,8,22
175,PHI,54,88,61.4,15,35,42.9,18,22,81.8,6,24,30,31,11,6,8,17
176,MEM,49,101,48.5,14,38,36.8,14,21,66.7,15,37,52,27,13,9,17,24
177,PHI,46,92,50.0,10,32,31.3,19,25,76.0,14,48,62,24,9,9,15,19
178,DAL,40,79,50.6,16,34,47.1,15,19,78.9,7,28,35,27,8,4,15,26
179,GSW,47,98,48.0,11,40,27.5,14,20,70.0,16,38,54,28,6,9,17,20
180,BOS,41,87,47.1,15,42,35.7,29,35,82.9,18,34,52,29,12,2,18,19
181,WAS,35,76,46.1,8,23,34.8,16,20,80.0,6,32,38,22,5,6,17,19
182,MIN,46,100,46.0,18,42,42.9,21,31,67.7,14,36,50,33,6,8,16,24
183,NOP,39,82,47.6,12,28,42.9,22,25,88.0,8,27,35,22,8,5,9,17
184,DEN,47,89,52.8,8,24,33.3,17,25,68.0,13,34,47,29,9,7,10,15
185,SAC,32,82,39.0,13,41,31.7,24,32,75.0,13,44,57,22,2,5,12,17
186,OKC,40,94,42.6,13,31,41.9,18,20,90.0,11,28,39,18,5,4,13,17
187,ORL,43,86,50.0,8,28,28.6,19,23,82.6,11,36,47,25,7,3,19,20
188,IND,54,97,55.7,22,46,47.8,9,15,60.0,8,34,42,36,5,3,10,20
189,GSW,49,88,55.7,17,36,47.2,11,15,73.3,7,29,36,28,5,1,16,25
190,MEM,46,91,50.5,18,46,39.1,9,14,64.3,12,27,39,29,6,1,16,20
191,DAL,44,86,51.2,17,33,51.5,32,37,86.5,10,42,52,23,4,4,19,25
192,SAC,38,78,48.7,18,42,42.9,23,29,79.3,5,40,45,26,6,3,20,19
193,BOS,34,84,40.5,12,40,30.0,24,30,80.0,8,36,44,20,7,5,11,22
194,LAL,34,90,37.8,11,44,25.0,31,37,83.8,11,25,36,21,7,3,10,17
195,PHI,39,75,52.0,17,36,47.2,23,27,85.2,13,33,46,24,8,6,20,21
196,CLE,45,88,51.1,14,30,46.7,16,19,84.2,8,22,30,29,8,6,9,19
197,DEN,42,76,55.3,6,25,24.0,20,25,80.0,4,28,32,29,9,4,14,17
198,LAL,40,82,48.8,18,39,46.2,25,28,89.3,15,37,52,24,8,2,18,16
199,BKN,35,82,42.7,12,41,29.3,25,34,73.5,11,35,46,25,3,5,17,20
200,NYK,42,81,51.9,15,35,42.9,24,34,70.6,9,43,52,23,8,8,13,13
201,MIL,40,85,47.1,12,39,30.8,24,37,64.9,13,33,46,24,8,6,13,15
202,DET,38,99,38.4,10,34,29.4,11,12,91.7,19,25,44,18,8,3,11,19
203,ORL,44,97,45.4,10,29,34.5,16,21,76.2,13,29,42,24,7,2,9,16
204,MEM,38,83,45.8,12,37,32.4,16,19,84.2,7,40,47,23,9,3,16,17
205,UTA,43,90,47.8,16,38,42.1,13,18,72.2,16,32,48,31,7,4,18,25
206,MIN,54,92,58.7,12,28,42.9,16,23,69.6,5,32,37,39,12,10,13,22
207,MIL,50,86,58.1,15,33,45.5,18,22,81.8,5,38,43,29,2,4,13,18
208,IND,36,86,41.9,10,34,29.4,15,24,62.5,13,29,42,23,7,5,16,15
209,BOS,39,87,44.8,12,42,28.6,19,21,90.5,10,28,38,19,7,5,14,22
210,PHX,46,95,48.4,4,21,19.0,16,22,72.7,17,30,47,25,8,4,14,23
211,POR,43,88,48.9,10,33,30.3,14,20,70.0,10,36,46,26,10,2,19,21
212,BKN,42,84,50.0,17,44,38.6,21,24,87.5,4,24,28,32,11,2,10,21
213,NYK,42,88,47.7,11,37,29.7,17,21,81.0,12,34,46,18,8,3,11,18
214,OKC,36,95,37.9,10,39,25.6,20,23,87.0,12,43,55,26,8,3,9,19
215,CLE,41,87,47.1,7,27,25.9,25,34,73.5,11,29,40,18,8,3,10,22
216,WAS,34,84,40.5,6,26,23.1,19,23,82.6,6,29,35,19,4,5,10,20
217,OKC,37,80,46.3,9,28,32.1,27,32,84.4,4,34,38,17,11,2,12,17
218,CHI,44,86,51.2,15,32,46.9,16,22,72.7,13,31,44,25,7,9,14,17
219,BOS,52,95,54.7,20,42,47.6,10,12,83.3,5,35,40,35,6,6,9,21
220,MIL,43,100,43.0,21,51,41.2,9,11,81.8,7,41,48,28,9,7,17,14
221,SAC,41,85,48.2,15,35,42.9,31,37,83.8,8,31,39,19,10,2,15,19
222,MIA,42,94,44.7,11,37,29.7,19,20,95.0,5,30,35,19,8,2,17,17
223,DAL,39,85,45.9,15,43,34.9,15,23,65.2,10,33,43,25,4,3,11,17
224,IND,43,93,46.2,9,35,25.7,26,34,76.5,18,40,58,24,7,6,14,20
225,UTA,46,103,44.7,9,32,28.1,18,20,90.0,20,40,60,22,4,4,11,17
226,NYK,32,90,35.6,7,31,22.6,24,27,88.9,20,34,54,21,5,3,10,17
227,TOR,46,92,50.0,10,28,35.7,10,13,76.9,10,27,37,29,14,3,13,16
228,POR,42,80,52.5,15,36,41.7,20,30,66.7,5,31,36,24,6,3,9,17
229,ATL,42,95,44.2,15,31,48.4,15,19,78.9,13,33,46,25,9,4,14,17
230,DEN,44,90,48.9,13,35,37.1,19,20,95.0,8,25,33,32,14,4,14,14
231,BKN,42,91,46.2,16,34,47.1,24,33,72.7,12,36,48,20,7,5,15,26
232,CLE,40,86,46.5,18,43,41.9,17,21,81.0,8,26,34,25,5,6,11,20
233,CHA,43,86,50.0,8,24,33.3,19,32,59.4,13,31,44,24,11,9,13,18
234,UTA,49,88,55.7,13,34,38.2,20,21,95.2,11,31,42,27,7,8,18,26
235,GSW,36,82,43.9,15,45,33.3,23,24,95.8,8,24,32,25,9,3,17,17
236,NYK,42,101,41.6,13,50,26.0,20,31,64.5,23,35,58,27,8,1,14,25
237,BKN,41,104,39.4,14,36,38.9,17,17,100.0,15,32,47,20,10,4,14,12
238,HOU,49,107,45.8,6,17,35.3,21,29,72.4,20,38,58,18,6,6,17,22
239,TOR,37,96,38.5,13,32,40.6,13,14,92.9,15,26,41,21,12,2,12,23
240,DAL,38,88,43.2,16,46,34.8,14,19,73.7,5,29,34,24,7,0,9,18
241,CHI,46,89,51.7,8,24,33.3,17,18,94.4,9,41,50,26,9,2,9,16
242,OKC,33,88,37.5,15,43,34.9,20,21,95.2,7,30,37,23,9,2,16,13
243,CLE,39,80,48.8,9,28,32.1,17,19,89.5,7,25,32,26,13,3,17,23
244,POR,30,82,36.6,11,39,28.2,22,27,81.5,6,41,47,18,5,2,16,19
245,ATL,45,85,52.9,12,29,41.4,20,26,76.9,8,28,36,26,11,5,11,17
